E(meV)   Intensity   Error
 40.0     0.00000     0.00100
 40.3     0.00000     0.00100
 40.6     0.00000     0.00100
 40.9     0.00000     0.00100
 41.2     0.00000     0.00100
 41.5     0.00000     0.00100
 41.8     0.00000     0.00100
 42.1     0.00000     0.00100
 42.4     0.00000     0.00100
 42.7     0.00000     0.00100
 43.0     0.00000     0.00100
 43.3     0.00000     0.00100
 43.6     0.00000     0.00100
 43.9     0.00000     0.00100
 44.2     0.00000     0.00100
 44.5     0.00000     0.00100
 44.8     0.00000     0.00100
 45.1     0.00000     0.00100
 45.4     0.00000     0.00100
 45.7     0.00000     0.00100
 46.0     0.00000     0.00100
 46.3     0.00000     0.00100
 46.6     0.00000     0.00100
 46.9     0.00000     0.00100
 47.2     0.00000     0.00100
 47.5     0.00000     0.00100
 47.8     0.00000     0.00100
 48.1     0.00000     0.00100
 48.4     0.00000     0.00100
 48.7     0.00000     0.00100
 49.0     0.00000     0.00100
 49.3     0.00000     0.00100
 49.6     0.00000     0.00100
 49.9     0.00000     0.00100
 50.3     0.00000     0.00100
 50.6     0.00000     0.00100
 50.9     0.00000     0.00100
 51.2     0.00000     0.00100
 51.5     0.00000     0.00100
 51.8     0.00000     0.00100
 52.1     0.00000     0.00100
 52.4     0.00000     0.00100
 52.7     0.00000     0.00100
 53.0     0.00000     0.00100
 53.3     0.00000     0.00100
 53.6     0.00000     0.00100
 53.9     0.00000     0.00100
 54.2     0.00000     0.00100
 54.5     0.00000     0.00100
 54.8     0.00000     0.00100
 55.1     0.00000     0.00100
 55.4     0.00000     0.00100
 55.7     0.00000     0.00100
 56.0     0.00000     0.00100
 56.3     0.00000     0.00100
 56.6     0.00000     0.00100
 56.9     0.00000     0.00100
 57.2     0.00000     0.00100
 57.5     0.00000     0.00100
 57.8     0.00000     0.00100
 58.1     0.00000     0.00100
 58.4     0.00000     0.00100
 58.7     0.00000     0.00100
 59.0     0.00000     0.00100
 59.3     0.00000     0.00100
 59.6     0.00000     0.00100
 59.9     0.00000     0.00100
 60.2     0.00000     0.00100
 60.5     0.00000     0.00100
 60.8     0.00000     0.00100
 61.1     0.00000     0.00100
 61.4     0.00000     0.00100
 61.7     0.00000     0.00100
 62.0     0.00000     0.00100
 62.3     0.00000     0.00100
 62.6     0.00001     0.00100
 62.9     0.00002     0.00100
 63.2     0.00005     0.00100
 63.5     0.00012     0.00100
 63.8     0.00027     0.00100
 64.1     0.00057     0.00101
 64.4     0.00119     0.00101
 64.7     0.00237     0.00102
 65.0     0.00450     0.00104
 65.3     0.00818     0.00108
 65.6     0.01426     0.00114
 65.9     0.02381     0.00124
 66.2     0.03811     0.00138
 66.5     0.05850     0.00159
 66.8     0.08618     0.00186
 67.1     0.12193     0.00222
 67.4     0.16584     0.00266
 67.7     0.21705     0.00317
 68.0     0.27370     0.00374
 68.3     0.33293     0.00433
 68.6     0.39117     0.00491
 68.9     0.44447     0.00544
 69.2     0.48896     0.00589
 69.5     0.52125     0.00621
 69.8     0.53880     0.00639
 70.2     0.54017     0.00640
 70.5     0.52527     0.00625
 70.8     0.49544     0.00595
 71.1     0.45350     0.00553
 71.4     0.40369     0.00504
 71.7     0.35149     0.00451
 72.0     0.30327     0.00403
 72.3     0.26588     0.00366
 72.6     0.24617     0.00346
 72.9     0.25021     0.00350
 73.2     0.28253     0.00383
 73.5     0.34506     0.00445
 73.8     0.43610     0.00536
 74.1     0.54955     0.00650
 74.4     0.67479     0.00775
 74.7     0.79757     0.00898
 75.0     0.90192     0.01002
 75.3     0.97299     0.01073
 75.6     1.00000     0.01100
 75.9     0.97849     0.01078
 76.2     0.91126     0.01011
 76.5     0.80760     0.00908
 76.8     0.68106     0.00781
 77.1     0.54652     0.00647
 77.4     0.41729     0.00517
 77.7     0.30317     0.00403
 78.0     0.20957     0.00310
 78.3     0.13785     0.00238
 78.6     0.08627     0.00186
 78.9     0.05138     0.00151
 79.2     0.02911     0.00129
 79.5     0.01570     0.00116
 79.8     0.00805     0.00108
 80.1     0.00393     0.00104
 80.4     0.00183     0.00102
 80.7     0.00081     0.00101
 81.0     0.00034     0.00100
 81.3     0.00014     0.00100
 81.6     0.00005     0.00100
 81.9     0.00002     0.00100
 82.2     0.00001     0.00100
 82.5     0.00000     0.00100
 82.8     0.00000     0.00100
 83.1     0.00000     0.00100
 83.4     0.00000     0.00100
 83.7     0.00000     0.00100
 84.0     0.00000     0.00100
 84.3     0.00000     0.00100
 84.6     0.00000     0.00100
 84.9     0.00000     0.00100
 85.2     0.00000     0.00100
 85.5     0.00000     0.00100
 85.8     0.00000     0.00100
 86.1     0.00000     0.00100
 86.4     0.00000     0.00100
 86.7     0.00000     0.00100
 87.0     0.00000     0.00100
 87.3     0.00000     0.00100
 87.6     0.00000     0.00100
 87.9     0.00000     0.00100
 88.2     0.00000     0.00100
 88.5     0.00000     0.00100
 88.8     0.00000     0.00100
 89.1     0.00000     0.00100
 89.4     0.00000     0.00100
 89.7     0.00000     0.00100
 90.1     0.00001     0.00100
 90.4     0.00002     0.00100
 90.7     0.00005     0.00100
 91.0     0.00015     0.00100
 91.3     0.00040     0.00100
 91.6     0.00100     0.00101
 91.9     0.00229     0.00102
 92.2     0.00491     0.00105
 92.5     0.00982     0.00110
 92.8     0.01831     0.00118
 93.1     0.03183     0.00132
 93.4     0.05161     0.00152
 93.7     0.07803     0.00178
 94.0     0.11000     0.00210
 94.3     0.14461     0.00245
 94.6     0.17726     0.00277
 94.9     0.20261     0.00303
 95.2     0.21595     0.00316
 95.5     0.21462     0.00315
 95.8     0.19889     0.00299
 96.1     0.17187     0.00272
 96.4     0.13849     0.00238
 96.7     0.10406     0.00204
 97.0     0.07290     0.00173
 97.3     0.04763     0.00148
 97.6     0.02902     0.00129
 97.9     0.01648     0.00116
 98.2     0.00873     0.00109
 98.5     0.00431     0.00104
 98.8     0.00199     0.00102
 99.1     0.00085     0.00101
 99.4     0.00034     0.00100
 99.7     0.00013     0.00100
100.0     0.00004     0.00100
