E(meV)   Intensity   Error
  0.0     0.00000     0.00100
  0.1     0.00000     0.00100
  0.2     0.00000     0.00100
  0.3     0.00000     0.00100
  0.4     0.00000     0.00100
  0.6     0.00000     0.00100
  0.7     0.00000     0.00100
  0.8     0.00000     0.00100
  0.9     0.00000     0.00100
  1.0     0.00000     0.00100
  1.1     0.00000     0.00100
  1.2     0.00000     0.00100
  1.3     0.00000     0.00100
  1.4     0.00000     0.00100
  1.5     0.00000     0.00100
  1.7     0.00000     0.00100
  1.8     0.00000     0.00100
  1.9     0.00000     0.00100
  2.0     0.00000     0.00100
  2.1     0.00000     0.00100
  2.2     0.00000     0.00100
  2.3     0.00000     0.00100
  2.4     0.00000     0.00100
  2.5     0.00000     0.00100
  2.7     0.00000     0.00100
  2.8     0.00000     0.00100
  2.9     0.00000     0.00100
  3.0     0.00000     0.00100
  3.1     0.00000     0.00100
  3.2     0.00000     0.00100
  3.3     0.00000     0.00100
  3.4     0.00001     0.00100
  3.5     0.00007     0.00100
  3.6     0.00027     0.00100
  3.8     0.00099     0.00101
  3.9     0.00321     0.00103
  4.0     0.00935     0.00109
  4.1     0.02437     0.00124
  4.2     0.05695     0.00157
  4.3     0.11923     0.00219
  4.4     0.22365     0.00324
  4.5     0.37588     0.00476
  4.6     0.56603     0.00666
  4.8     0.76370     0.00864
  4.9     0.92323     0.01023
  5.0     1.00000     0.01100
  5.1     0.97049     0.01070
  5.2     0.84389     0.00944
  5.3     0.65748     0.00757
  5.4     0.45896     0.00559
  5.5     0.28706     0.00387
  5.6     0.16087     0.00261
  5.7     0.08078     0.00181
  5.9     0.03634     0.00136
  6.0     0.01466     0.00115
  6.1     0.00535     0.00105
  6.2     0.00197     0.00102
  6.3     0.00151     0.00102
  6.4     0.00353     0.00104
  6.5     0.01003     0.00110
  6.6     0.02569     0.00126
  6.7     0.05763     0.00158
  6.9     0.11298     0.00213
  7.0     0.19351     0.00294
  7.1     0.28958     0.00390
  7.2     0.37858     0.00479
  7.3     0.43240     0.00532
  7.4     0.43147     0.00531
  7.5     0.37614     0.00476
  7.6     0.28648     0.00386
  7.7     0.19062     0.00291
  7.8     0.11081     0.00211
  8.0     0.05628     0.00156
  8.1     0.02497     0.00125
  8.2     0.00968     0.00110
  8.3     0.00328     0.00103
  8.4     0.00097     0.00101
  8.5     0.00025     0.00100
  8.6     0.00006     0.00100
  8.7     0.00001     0.00100
  8.8     0.00000     0.00100
  9.0     0.00000     0.00100
  9.1     0.00000     0.00100
  9.2     0.00000     0.00100
  9.3     0.00000     0.00100
  9.4     0.00000     0.00100
  9.5     0.00000     0.00100
  9.6     0.00000     0.00100
  9.7     0.00000     0.00100
  9.8     0.00000     0.00100
  9.9     0.00000     0.00100
 10.1     0.00000     0.00100
 10.2     0.00000     0.00100
 10.3     0.00000     0.00100
 10.4     0.00000     0.00100
 10.5     0.00000     0.00100
 10.6     0.00000     0.00100
 10.7     0.00000     0.00100
 10.8     0.00000     0.00100
 10.9     0.00000     0.00100
 11.1     0.00000     0.00100
 11.2     0.00000     0.00100
 11.3     0.00000     0.00100
 11.4     0.00000     0.00100
 11.5     0.00000     0.00100
 11.6     0.00000     0.00100
 11.7     0.00000     0.00100
 11.8     0.00000     0.00100
 11.9     0.00000     0.00100
 12.1     0.00000     0.00100
 12.2     0.00000     0.00100
 12.3     0.00000     0.00100
 12.4     0.00000     0.00100
 12.5     0.00000     0.00100
 12.6     0.00000     0.00100
 12.7     0.00000     0.00100
 12.8     0.00000     0.00100
 12.9     0.00000     0.00100
 13.0     0.00000     0.00100
 13.2     0.00000     0.00100
 13.3     0.00000     0.00100
 13.4     0.00000     0.00100
 13.5     0.00000     0.00100
 13.6     0.00000     0.00100
 13.7     0.00000     0.00100
 13.8     0.00000     0.00100
 13.9     0.00000     0.00100
 14.0     0.00000     0.00100
 14.2     0.00000     0.00100
 14.3     0.00000     0.00100
 14.4     0.00000     0.00100
 14.5     0.00000     0.00100
 14.6     0.00000     0.00100
 14.7     0.00000     0.00100
 14.8     0.00000     0.00100
 14.9     0.00000     0.00100
 15.0     0.00000     0.00100
 15.1     0.00000     0.00100
 15.3     0.00000     0.00100
 15.4     0.00000     0.00100
 15.5     0.00000     0.00100
 15.6     0.00000     0.00100
 15.7     0.00000     0.00100
 15.8     0.00000     0.00100
 15.9     0.00000     0.00100
 16.0     0.00000     0.00100
 16.1     0.00000     0.00100
 16.3     0.00000     0.00100
 16.4     0.00000     0.00100
 16.5     0.00000     0.00100
 16.6     0.00006     0.00100
 16.7     0.00059     0.00101
 16.8     0.00402     0.00104
 16.9     0.01994     0.00120
 17.0     0.07123     0.00171
 17.1     0.18343     0.00283
 17.2     0.34056     0.00441
 17.4     0.45582     0.00556
 17.5     0.43984     0.00540
 17.6     0.30597     0.00406
 17.7     0.15345     0.00253
 17.8     0.05548     0.00155
 17.9     0.01446     0.00114
 18.0     0.00272     0.00103
 18.1     0.00037     0.00100
 18.2     0.00004     0.00100
 18.4     0.00000     0.00100
 18.5     0.00000     0.00100
 18.6     0.00000     0.00100
 18.7     0.00000     0.00100
 18.8     0.00000     0.00100
 18.9     0.00000     0.00100
 19.0     0.00000     0.00100
 19.1     0.00000     0.00100
 19.2     0.00000     0.00100
 19.3     0.00000     0.00100
 19.5     0.00000     0.00100
 19.6     0.00000     0.00100
 19.7     0.00000     0.00100
 19.8     0.00000     0.00100
 19.9     0.00000     0.00100
 20.0     0.00000     0.00100
 20.1     0.00000     0.00100
 20.2     0.00000     0.00100
 20.3     0.00000     0.00100
 20.5     0.00000     0.00100
 20.6     0.00000     0.00100
 20.7     0.00000     0.00100
 20.8     0.00000     0.00100
 20.9     0.00000     0.00100
 21.0     0.00000     0.00100
 21.1     0.00000     0.00100
 21.2     0.00000     0.00100
 21.3     0.00000     0.00100
 21.4     0.00000     0.00100
 21.6     0.00000     0.00100
 21.7     0.00000     0.00100
 21.8     0.00000     0.00100
 21.9     0.00000     0.00100
 22.0     0.00000     0.00100
