E(meV)   Intensity   Error
  0.0     0.00000     0.00100
  0.1     0.00000     0.00100
  0.2     0.00000     0.00100
  0.3     0.00000     0.00100
  0.4     0.00000     0.00100
  0.6     0.00000     0.00100
  0.7     0.00000     0.00100
  0.8     0.00000     0.00100
  0.9     0.00000     0.00100
  1.0     0.00000     0.00100
  1.1     0.00000     0.00100
  1.2     0.00000     0.00100
  1.3     0.00000     0.00100
  1.4     0.00000     0.00100
  1.5     0.00000     0.00100
  1.7     0.00000     0.00100
  1.8     0.00000     0.00100
  1.9     0.00000     0.00100
  2.0     0.00000     0.00100
  2.1     0.00000     0.00100
  2.2     0.00000     0.00100
  2.3     0.00000     0.00100
  2.4     0.00000     0.00100
  2.5     0.00000     0.00100
  2.7     0.00000     0.00100
  2.8     0.00000     0.00100
  2.9     0.00000     0.00100
  3.0     0.00000     0.00100
  3.1     0.00000     0.00100
  3.2     0.00000     0.00100
  3.3     0.00000     0.00100
  3.4     0.00000     0.00100
  3.5     0.00000     0.00100
  3.6     0.00000     0.00100
  3.8     0.00000     0.00100
  3.9     0.00000     0.00100
  4.0     0.00000     0.00100
  4.1     0.00000     0.00100
  4.2     0.00000     0.00100
  4.3     0.00000     0.00100
  4.4     0.00000     0.00100
  4.5     0.00000     0.00100
  4.6     0.00000     0.00100
  4.8     0.00000     0.00100
  4.9     0.00001     0.00100
  5.0     0.00007     0.00100
  5.1     0.00031     0.00100
  5.2     0.00119     0.00101
  5.3     0.00408     0.00104
  5.4     0.01233     0.00112
  5.5     0.03291     0.00133
  5.6     0.07764     0.00178
  5.7     0.16185     0.00262
  5.9     0.29814     0.00398
  6.0     0.48532     0.00585
  6.1     0.69822     0.00798
  6.2     0.88811     0.00988
  6.3     0.99989     0.01100
  6.4     1.00000     0.01100
  6.5     0.89798     0.00998
  6.6     0.74620     0.00846
  6.7     0.61631     0.00716
  6.9     0.56566     0.00666
  7.0     0.61070     0.00711
  7.1     0.71949     0.00819
  7.2     0.82701     0.00927
  7.3     0.86761     0.00968
  7.4     0.80802     0.00908
  7.5     0.66137     0.00761
  7.6     0.47409     0.00574
  7.7     0.29727     0.00397
  7.8     0.16298     0.00263
  8.0     0.07812     0.00178
  8.1     0.03273     0.00133
  8.2     0.01199     0.00112
  8.3     0.00384     0.00104
  8.4     0.00107     0.00101
  8.5     0.00026     0.00100
  8.6     0.00006     0.00100
  8.7     0.00001     0.00100
  8.8     0.00000     0.00100
  9.0     0.00000     0.00100
  9.1     0.00000     0.00100
  9.2     0.00000     0.00100
  9.3     0.00000     0.00100
  9.4     0.00000     0.00100
  9.5     0.00000     0.00100
  9.6     0.00000     0.00100
  9.7     0.00000     0.00100
  9.8     0.00000     0.00100
  9.9     0.00000     0.00100
 10.1     0.00000     0.00100
 10.2     0.00000     0.00100
 10.3     0.00000     0.00100
 10.4     0.00000     0.00100
 10.5     0.00000     0.00100
 10.6     0.00000     0.00100
 10.7     0.00000     0.00100
 10.8     0.00000     0.00100
 10.9     0.00000     0.00100
 11.1     0.00000     0.00100
 11.2     0.00000     0.00100
 11.3     0.00000     0.00100
 11.4     0.00000     0.00100
 11.5     0.00000     0.00100
 11.6     0.00000     0.00100
 11.7     0.00000     0.00100
 11.8     0.00000     0.00100
 11.9     0.00000     0.00100
 12.1     0.00000     0.00100
 12.2     0.00000     0.00100
 12.3     0.00000     0.00100
 12.4     0.00000     0.00100
 12.5     0.00000     0.00100
 12.6     0.00000     0.00100
 12.7     0.00000     0.00100
 12.8     0.00000     0.00100
 12.9     0.00000     0.00100
 13.0     0.00000     0.00100
 13.2     0.00000     0.00100
 13.3     0.00000     0.00100
 13.4     0.00000     0.00100
 13.5     0.00000     0.00100
 13.6     0.00000     0.00100
 13.7     0.00000     0.00100
 13.8     0.00000     0.00100
 13.9     0.00000     0.00100
 14.0     0.00000     0.00100
 14.2     0.00000     0.00100
 14.3     0.00000     0.00100
 14.4     0.00000     0.00100
 14.5     0.00000     0.00100
 14.6     0.00000     0.00100
 14.7     0.00000     0.00100
 14.8     0.00004     0.00100
 14.9     0.00037     0.00100
 15.0     0.00233     0.00102
 15.1     0.01103     0.00111
 15.3     0.03933     0.00139
 15.4     0.10584     0.00206
 15.5     0.21489     0.00315
 15.6     0.32916     0.00429
 15.7     0.38041     0.00480
 15.8     0.33170     0.00432
 15.9     0.21821     0.00318
 16.0     0.10831     0.00208
 16.1     0.04056     0.00141
 16.3     0.01146     0.00111
 16.4     0.00244     0.00102
 16.5     0.00039     0.00100
 16.6     0.00005     0.00100
 16.7     0.00000     0.00100
 16.8     0.00000     0.00100
 16.9     0.00000     0.00100
 17.0     0.00000     0.00100
 17.1     0.00000     0.00100
 17.2     0.00000     0.00100
 17.4     0.00000     0.00100
 17.5     0.00000     0.00100
 17.6     0.00000     0.00100
 17.7     0.00000     0.00100
 17.8     0.00000     0.00100
 17.9     0.00000     0.00100
 18.0     0.00000     0.00100
 18.1     0.00000     0.00100
 18.2     0.00000     0.00100
 18.4     0.00000     0.00100
 18.5     0.00000     0.00100
 18.6     0.00000     0.00100
 18.7     0.00000     0.00100
 18.8     0.00000     0.00100
 18.9     0.00000     0.00100
 19.0     0.00000     0.00100
 19.1     0.00000     0.00100
 19.2     0.00000     0.00100
 19.3     0.00000     0.00100
 19.5     0.00000     0.00100
 19.6     0.00000     0.00100
 19.7     0.00000     0.00100
 19.8     0.00000     0.00100
 19.9     0.00000     0.00100
 20.0     0.00000     0.00100
 20.1     0.00000     0.00100
 20.2     0.00000     0.00100
 20.3     0.00000     0.00100
 20.5     0.00000     0.00100
 20.6     0.00000     0.00100
 20.7     0.00000     0.00100
 20.8     0.00000     0.00100
 20.9     0.00000     0.00100
 21.0     0.00000     0.00100
 21.1     0.00000     0.00100
 21.2     0.00000     0.00100
 21.3     0.00000     0.00100
 21.4     0.00000     0.00100
 21.6     0.00000     0.00100
 21.7     0.00000     0.00100
 21.8     0.00000     0.00100
 21.9     0.00000     0.00100
 22.0     0.00000     0.00100
