   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
     5.866    1.75  1.55  1.5  82.   74.   60.    0.5   0.3   0.2 
     6.143    1.8   1.55  1.5  82.   74.   60.    0.5   0.3   0.2 
     6.164    1.7   1.55  1.5  82.   74.   60.    0.5   0.3   0.2 
     6.403    1.75  1.55  1.5  78.   74.   60.    0.5   0.3   0.2 
     6.579    1.7   1.55  1.5  78.   74.   60.    0.5   0.3   0.2 
     8.893    1.8   1.55  1.5  78.   74.   60.    0.5   0.3   0.2 
    10.236    1.75  1.55  1.5  74.   78.   60.    0.5   0.3   0.2 
    10.459    1.7   1.55  1.5  74.   78.   60.    0.5   0.3   0.2 
    10.762    1.7   1.55  1.5  74.   82.   60.    0.5   0.3   0.2 
    11.362    1.75  1.55  1.5  74.   74.   60.    0.5   0.3   0.2 
    11.781    1.7   1.6   1.5  82.   74.   60.    0.5   0.35  0.2 
    12.505    1.75  1.6   1.5  82.   74.   60.    0.5   0.35  0.2 
    12.751    1.7   1.55  1.5  78.   78.   60.    0.5   0.3   0.2 
    13.019    1.75  1.55  1.5  74.   82.   60.    0.5   0.3   0.2 
    13.710    1.75  1.55  1.5  82.   74.   60.    0.5   0.3   0.25
    13.944    1.8   1.6   1.5  82.   74.   60.    0.5   0.35  0.2 
    14.940    1.8   1.55  1.5  74.   74.   60.    0.5   0.3   0.2 
    15.174    1.8   1.55  1.5  74.   78.   60.    0.5   0.3   0.2 
    16.098    1.8   1.55  1.5  82.   74.   60.    0.5   0.3   0.25
    16.537    1.8   1.55  1.5  78.   74.   60.    0.5   0.3   0.25
    16.601    1.7   1.55  1.5  74.   74.   60.    0.5   0.3   0.2 
    16.967    1.7   1.6   1.5  78.   74.   60.    0.5   0.35  0.2 
    17.146    1.7   1.55  1.5  82.   78.   60.    0.5   0.35  0.2 
    17.157    1.75  1.6   1.5  82.   74.   60.    0.5   0.35  0.25
    17.446    1.8   1.55  1.5  74.   78.   60.    0.5   0.3   0.25
    17.456    1.75  1.55  1.5  74.   82.   60.    0.5   0.3   0.25
    17.637    1.8   1.55  1.5  74.   82.   60.    0.5   0.3   0.2 
    18.108    1.8   1.55  1.5  74.   74.   60.    0.5   0.3   0.25
    18.128    1.75  1.6   1.5  78.   74.   60.    0.5   0.35  0.2 
    18.169    1.75  1.55  1.5  78.   74.   60.    0.5   0.3   0.25
    18.481    1.75  1.55  1.5  78.   78.   60.    0.5   0.3   0.2 
    18.494    1.8   1.55  1.5  74.   82.   60.    0.5   0.3   0.25
    18.542    1.75  1.6   1.5  74.   82.   60.    0.5   0.35  0.25
    18.717    1.8   1.6   1.5  74.   82.   60.    0.5   0.35  0.25
    19.528    1.75  1.55  1.5  82.   78.   60.    0.5   0.35  0.2 
    19.708    1.8   1.6   1.5  78.   74.   60.    0.5   0.35  0.2 
    19.709    1.7   1.55  1.5  74.   82.   60.    0.5   0.3   0.25
    19.769    1.75  1.55  1.5  74.   78.   60.    0.5   0.3   0.25
    20.368    1.7   1.6   1.5  74.   82.   60.    0.5   0.35  0.25
    20.468    1.7   1.55  1.5  82.   74.   60.    0.5   0.3   0.25
    20.811    1.7   1.55  1.5  82.   78.   60.    0.5   0.3   0.2 
    21.289    1.8   1.6   1.5  82.   74.   60.    0.5   0.35  0.25
    21.578    1.7   1.55  1.6  82.   74.   60.    0.5   0.35  0.25
    22.059    1.75  1.55  1.55 82.   74.   60.    0.5   0.35  0.2 
    22.370    1.75  1.6   1.5  78.   74.   60.    0.5   0.35  0.25
    22.477    1.8   1.6   1.5  78.   74.   60.    0.5   0.35  0.25
    22.541    1.75  1.55  1.55 82.   74.   60.    0.5   0.35  0.25
    22.835    1.7   1.55  1.55 82.   74.   60.    0.5   0.35  0.2 
    22.877    1.8   1.55  1.5  74.   82.   60.    0.5   0.3   0.3 
    22.983    1.75  1.55  1.5  78.   78.   60.    0.5   0.35  0.2 
    23.015    1.7   1.6   1.5  78.   78.   60.    0.5   0.35  0.2 
    23.133    1.7   1.6   1.5  74.   82.   60.    0.5   0.35  0.2 
    23.176    1.7   1.55  1.55 82.   74.   60.    0.5   0.35  0.25
    23.343    1.7  1.6  1.5 74.  82.  60.   0.5  0.3  0.3
    23.549    1.7   1.55  1.55 74.   82.   60.    0.5   0.3   0.25
    23.613    1.75  1.6   1.5  74.   82.   60.    0.5   0.35  0.2 
    23.807    1.8   1.6   1.5  74.   78.   60.    0.5   0.35  0.25
    23.818    1.75  1.55  1.5  74.   74.   60.    0.5   0.3   0.25
    24.100    1.75  1.6   1.5  74.   78.   60.    0.5   0.35  0.25
    24.162    1.7   1.55  1.55 74.   78.   60.    0.5   0.3   0.25
    24.182    1.8   1.55  1.5  78.   78.   60.    0.5   0.3   0.2 
    24.364    1.8   1.6   1.5  74.   82.   60.    0.5   0.35  0.2 
    24.534    1.7   1.55  1.5  78.   78.   60.    0.5   0.35  0.2 
    24.744    1.7   1.55  1.55 78.   74.   60.    0.5   0.3   0.25
    25.368    1.8   1.55  1.5  74.   78.   60.    0.5   0.3   0.3 
    25.406    1.75  1.6   1.5  78.   78.   60.    0.5   0.35  0.2 
    25.520    1.75  1.55  1.5  82.   78.   60.    0.5   0.3   0.2 
    25.704    1.7   1.55  1.55 74.   74.   60.    0.5   0.3   0.25
    25.760    1.7   1.55  1.5  74.   78.   60.    0.5   0.3   0.25
    26.088    1.7   1.55  1.5  78.   74.   60.    0.5   0.3   0.25
    26.104    1.75  1.55  1.5  82.   74.   60.    0.5   0.35  0.2 
    26.291    1.7   1.6   1.5  74.   78.   60.    0.5   0.35  0.2 
    26.334    1.7   1.6   1.5  82.   78.   60.    0.5   0.35  0.2 
    26.358    1.8   1.55  1.55 82.   74.   60.    0.5   0.35  0.2 
    26.437    1.75  1.55  1.55 78.   74.   60.    0.5   0.35  0.25
    26.546    1.75  1.55  1.55 74.   82.   60.    0.5   0.3   0.3 
    26.625    1.75  1.55  1.5  74.   82.   60.    0.5   0.3   0.3 
    26.706    1.75  1.6   1.5  74.   82.   60.    0.5   0.35  0.3 
    26.740    1.75  1.6   1.5  74.   78.   60.    0.5   0.35  0.2 
    27.020    1.7   1.6   1.5  82.   74.   60.    0.5   0.35  0.25
    27.026    1.75  1.55  1.6  82.   74.   60.    0.5   0.35  0.25
    27.393    1.8   1.6   1.5  78.   78.   60.    0.5   0.35  0.2 
    27.459    1.75  1.6   1.5  82.   78.   60.    0.5   0.35  0.2 
    27.890    1.7   1.55  1.55 74.   82.   60.    0.5   0.3   0.3 
    28.030    1.8   1.55  1.5  78.   74.   60.    0.5   0.35  0.2 
    28.088    1.8   1.55  1.5  78.   78.   60.    0.5   0.35  0.2 
    28.186    1.7   1.6   1.5  74.   78.   60.    0.5   0.35  0.25
    28.205    1.8   1.55  1.55 82.   74.   60.    0.5   0.35  0.25
    28.209    1.8   1.55  1.5  82.   78.   60.    0.5   0.35  0.2 
    28.291    1.8   1.55  1.5  74.   74.   60.    0.5   0.3   0.3 
    28.363    1.75  1.55  1.55 74.   74.   60.    0.5   0.3   0.25
    28.470    1.8   1.55  1.5  82.   74.   60.    0.5   0.35  0.2 
    28.563    1.75  1.55  1.5  78.   74.   60.    0.5   0.35  0.2 
    28.594    1.8   1.55  1.5  82.   78.   60.    0.5   0.3   0.2 
    28.740    1.7   1.55  1.55 82.   74.   60.    0.5   0.3   0.25
    28.787    1.7  1.6  1.5 74.  78.  60.   0.5  0.3  0.3
    29.219    1.8   1.6   1.5  74.   78.   60.    0.5   0.35  0.2 
    29.594    1.8   1.6   1.5  74.   78.   60.    0.5   0.35  0.3 
    29.807    1.75  1.6   1.5  74.   78.   60.    0.5   0.35  0.3 
    29.861    1.7   1.6   1.5  78.   74.   60.    0.5   0.35  0.25
    30.098    1.8   1.6   1.5  74.   74.   60.    0.5   0.35  0.25
    30.160    1.75  1.55  1.5  78.   82.   60.    0.5   0.35  0.2 
    30.396    1.7   1.55  1.55 82.   74.   60.    0.5   0.3   0.2 
    30.705    1.7   1.55  1.55 78.   74.   60.    0.5   0.35  0.25
    30.849    1.8   1.6   1.5  74.   82.   60.    0.5   0.35  0.3 
    31.182    1.8   1.6   1.5  74.   74.   60.    0.5   0.35  0.3 
    31.229    1.7   1.55  1.5  78.   82.   60.    0.5   0.35  0.2 
    31.342    1.8   1.6   1.5  82.   78.   60.    0.5   0.35  0.2 
    31.382    1.8   1.55  1.55 74.   82.   60.    0.5   0.3   0.3 
    31.531    1.8   1.55  1.5  82.   74.   60.    0.5   0.35  0.25
    31.869    1.7   1.55  1.5  82.   74.   60.    0.5   0.35  0.2 
    31.975    1.75  1.55  1.5  82.   74.   60.    0.5   0.35  0.25
    32.407    1.7   1.55  1.5  82.   82.   60.    0.5   0.35  0.2 
    32.446    1.8   1.55  1.5  78.   74.   60.    0.5   0.35  0.25
    32.624    1.75  1.55  1.5  74.   78.   60.    0.5   0.3   0.3 
    32.630    1.75  1.6   1.5  78.   74.   60.    0.5   0.35  0.3 
    32.811    1.75  1.6   1.5  74.   74.   60.    0.5   0.35  0.2 
    32.926    1.8   1.55  1.55 78.   74.   60.    0.5   0.35  0.25
    33.033    1.75  1.55  1.55 74.   78.   60.    0.5   0.3   0.25
    33.289    1.75  1.55  1.5  82.   82.   60.    0.5   0.35  0.2 
    33.897    1.75  1.55  1.55 74.   82.   60.    0.5   0.3   0.25
    33.937    1.7   1.6   1.5  74.   74.   60.    0.5   0.35  0.2 
    34.312    1.75  1.55  1.55 78.   74.   60.    0.5   0.3   0.25
    34.781    1.75  1.6   1.5  74.   74.   60.    0.5   0.35  0.25
    34.978    1.7   1.55  1.55 82.   78.   60.    0.5   0.35  0.2 
    35.203    1.8   1.55  1.5  78.   74.   60.    0.5   0.3   0.3 
    35.466    1.75  1.55  1.55 74.   78.   60.    0.5   0.3   0.3 
    35.752    1.7   1.65  1.5  74.   82.   60.    0.5   0.35  0.3 
    35.783    1.7   1.55  1.55 78.   74.   60.    0.5   0.3   0.2 
    35.952    1.7   1.55  1.6  78.   74.   60.    0.5   0.35  0.25
    36.114    1.75  1.6   1.5  74.   74.   60.    0.5   0.3   0.3 
    36.333    1.75  1.6   1.5  78.   78.   60.    0.5   0.35  0.25
    36.336    1.8   1.6   1.5  74.   74.   60.    0.5   0.35  0.2 
    36.674    1.75  1.6   1.5  82.   74.   60.    0.5   0.35  0.3 
    36.776    1.7  1.6  1.5 74.  74.  60.   0.5  0.3  0.3
    36.839    1.75  1.55  1.55 82.   74.   60.    0.5   0.35  0.3 
    37.044    1.75  1.55  1.55 78.   74.   60.    0.5   0.35  0.2 
    37.064    1.75  1.55  1.55 82.   78.   60.    0.5   0.35  0.2 
    37.147    1.75  1.55  1.55 82.   74.   60.    0.5   0.3   0.25
    37.253    1.7   1.55  1.5  78.   74.   60.    0.5   0.35  0.2 
    37.296    1.8   1.6   1.5  78.   74.   60.    0.5   0.35  0.3 
    37.440    1.75  1.6   1.5  74.   82.   60.    0.5   0.3   0.3 
    37.457    1.7   1.55  1.6  74.   82.   60.    0.5   0.3   0.3 
    37.629    1.7   1.55  1.55 74.   78.   60.    0.5   0.3   0.3 
    37.683    1.75  1.55  1.5  82.   78.   60.    0.5   0.35  0.25
    37.693    1.8   1.55  1.5  78.   82.   60.    0.5   0.35  0.2 
    37.735    1.75  1.55  1.55 82.   74.   60.    0.5   0.3   0.2 
    37.817    1.7   1.55  1.5  74.   74.   60.    0.5   0.3   0.25
    38.114    1.75  1.6   1.5  74.   78.   60.    0.5   0.3   0.3 
    38.390    1.75  1.55  1.55 74.   74.   60.    0.5   0.3   0.3 
    38.521    1.7   1.65  1.5  74.   78.   60.    0.5   0.35  0.3 
    38.570    1.75  1.55  1.5  78.   74.   60.    0.5   0.3   0.3 
    38.783    1.7   1.6   1.5  78.   78.   60.    0.5   0.35  0.25
    39.410    1.7   1.55  1.5  78.   82.   60.    0.5   0.3   0.2 
    39.559    1.75  1.55  1.6  78.   74.   60.    0.5   0.35  0.25
    39.560    1.7   1.55  1.5  78.   78.   60.    0.5   0.3   0.25
    39.771    1.8   1.55  1.55 74.   78.   60.    0.5   0.3   0.3 
    39.807    1.8   1.55  1.55 74.   74.   60.    0.5   0.3   0.3 
    39.887    1.7   1.55  1.55 82.   78.   60.    0.5   0.35  0.25
    39.974    1.75  1.6   1.5  74.   74.   60.    0.5   0.35  0.3 
    40.162    1.7   1.55  1.55 78.   78.   60.    0.5   0.35  0.25
    40.196    1.8   1.55  1.55 74.   74.   60.    0.5   0.3   0.25
    40.367    1.8   1.55  1.55 78.   74.   60.    0.5   0.35  0.2 
    40.461    1.7  1.6  1.5 78.  74.  60.   0.5  0.3  0.3
    40.550    1.7   1.55  1.6  82.   74.   60.    0.5   0.35  0.3 
