T(K) B(T)     M(muB)
5   0        0
5	0.005716 0.0046361
5	0.012834 0.013104
5	0.022857 0.025012
5	0.035693 0.040257
5	0.051447 0.058967
5	0.070039 0.081023
5	0.091480 0.10645
5	0.11576	0.13525
5	0.14288	0.16729
5	0.17287	0.20277
5	0.20573	0.24157
5	0.24143	0.28380
5	0.28001	0.32914
5	0.32144	0.37788
5	0.36573	0.42984
5	0.41285	0.48497
5	0.46286	0.54331
5	0.51569	0.60462
5	0.57142	0.66912
5	0.62994	0.73648
5	0.69140	0.80698
5	0.75567	0.88022
5	0.82282	0.95651
5	0.89280	1.0349
5	0.96564	1.1168
5	1.0413	1.2008
5	1.1199	1.2871
5	1.2013	1.3759
5	1.2856	1.4668
5	1.3727	1.5597
5	1.4627	1.6547
5	1.5556	1.7509
5	1.6513	1.8489
5	1.7498	1.9481
5	1.8513	2.0483
5	1.9556	2.1490
5	2.0627	2.2502
5	2.1727	2.3512
5	2.2855	2.4518
5	2.4012	2.5517
5	2.5198	2.6493
5	2.6412	2.7458
5	2.7655	2.8396
5	2.8926	2.9309
5	3.0226	3.0191
5	3.1555	3.1044
5	3.2911	3.1866
5	3.4297	3.2647
5	3.5711	3.3396
5	3.7154	3.4108
5	3.8625	3.4782
5	4.0125	3.5427
5	4.1653	3.6030
5	4.3210	3.6614
5	4.4796	3.7170
5	4.6410	3.7698
5	4.8053	3.8202
5	4.9724	3.8686
5	5.1424	3.9146
5	5.3152	3.9591
5	5.4909	4.0013
5	5.6695	4.0424
5	5.8509	4.0824
5	6.0351	4.1205
5	6.2223	4.1577
5	6.4123	4.1937
5	6.6051	4.2299
5	6.8008	4.2640
5	6.9993	4.2973
5	7.2007	4.3303
5	7.4050	4.3623
5	7.6121	4.3943
5	7.8221	4.4254
5	8.0349	4.4551
5	8.2506	4.4845
5	8.4692	4.5148
5	8.6906	4.5441
5	8.9149	4.5732
5	9.1420	4.6024
5	9.3719	4.6307
5	9.6047	4.6604
5	9.8405	4.6882
5	10.079	4.7166
5	10.320	4.7442
5	10.565	4.7726
5	10.812	4.7999
5	11.062	4.8269
5	11.315	4.8545
5	11.570	4.8820
5	11.829	4.9090
5	12.090	4.9361
5	12.355	4.9636
5	12.622	4.9903
5	12.892	5.0174
5	13.164	5.0441
5	13.440	5.0709
5	13.719	5.0977
5	14.000	5.1251
10  0        0
10	0.0056952	0.0032990
10	0.012817	0.0093622
10	0.022864	0.017912
10	0.035701	0.028830
10	0.051423	0.042198
10	0.070027	0.057998
10	0.091486	0.076214
10	0.11572	0.096655
10	0.14286	0.11976
10	0.17287	0.14518
10	0.20571	0.17298
10	0.24145	0.20321
10	0.28002	0.23581
10	0.32145	0.27079
10	0.36569	0.30812
10	0.41281	0.34779
10	0.46282	0.38993
10	0.51568	0.43423
10	0.57141	0.48084
10	0.62996	0.52974
10	0.69141	0.58086
10	0.75568	0.63427
10	0.82281	0.68978
10	0.89280	0.74740
10	0.96565	0.80717
10	1.0413	0.86878
10	1.1199	0.93273
10	1.2013	0.99847
10	1.2856	1.0663
10	1.3727	1.1359
10	1.4627	1.2074
10	1.5556	1.2805
10	1.6513	1.3552
10	1.7498	1.4313
10	1.8513	1.5089
10	1.9555	1.5878
10	2.0627	1.6680
10	2.1727	1.7491
10	2.2855	1.8310
10	2.4012	1.9140
10	2.5198	1.9979
10	2.6412	2.0815
10	2.7655	2.1656
10	2.8926	2.2499
10	3.0226	2.3342
10	3.1555	2.4180
10	3.2911	2.5010
10	3.4297	2.5840
10	3.5711	2.6662
10	3.7154	2.7468
10	3.8625	2.8268
10	4.0125	2.9057
10	4.1653	2.9829
10	4.3210	3.0587
10	4.4796	3.1331
10	4.6410	3.2057
10	4.8053	3.2767
10	4.9724	3.3457
10	5.1424	3.4132
10	5.3152	3.4788
10	5.4909	3.5421
10	5.6694	3.6039
10	5.8509	3.6635
10	6.0351	3.7217
10	6.2223	3.7785
10	6.4122	3.8330
10	6.6051	3.8862
10	6.8008	3.9382
10	6.9993	3.9880
10	7.2007	4.0371
10	7.4050	4.0845
10	7.6121	4.1307
10	7.8221	4.1754
10	8.0349	4.2192
10	8.2506	4.2621
10	8.4692	4.3036
10	8.6906	4.3425
10	8.9149	4.3828
10	9.1420	4.4218
10	9.3719	4.4600
10	9.6048	4.4972
10	9.8405	4.5342
10	10.079	4.5702
10	10.320	4.6060
10	10.565	4.6421
10	10.812	4.6768
10	11.062	4.7104
10	11.315	4.7442
10	11.570	4.7775
10	11.829	4.8105
10	12.090	4.8430
10	12.355	4.8761
10	12.622	4.9077
10	12.892	4.9380
10	13.164	4.9694
10	13.440	5.0007
10	13.719	5.0311
10	14.000	5.0602
40  0        0
40	0.0056890	0.0014998
40	0.012829	0.0041002
40	0.022850	0.0077463
40	0.035679	0.012413
40	0.051404	0.018129
40	0.070021	0.024892
40	0.091453	0.032677
40	0.11573	0.041499
40	0.14285	0.051317
40	0.17284	0.062180
40	0.20575	0.074092
40	0.24144	0.087007
40	0.28000	0.10096
40	0.32144	0.11595
40	0.36572	0.13194
40	0.41284	0.14896
40	0.46286	0.16699
40	0.51571	0.18603
40	0.57141	0.20609
40	0.62996	0.22716
40	0.69139	0.24924
40	0.75566	0.27238
40	0.82279	0.29647
40	0.89281	0.32157
40	0.96566	0.34770
40	1.0413	0.37470
40	1.1199	0.40284
40	1.2013	0.43195
40	1.2856	0.46207
40	1.3727	0.49313
40	1.4627	0.52522
40	1.5556	0.55828
40	1.6513	0.59236
40	1.7499	0.62717
40	1.8513	0.66313
40	1.9556	0.70006
40	2.0627	0.73790
40	2.1727	0.77671
40	2.2855	0.81642
40	2.4012	0.85709
40	2.5198	0.89855
40	2.6412	0.94096
40	2.7655	0.98427
40	2.8926	1.0285
40	3.0226	1.0735
