   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
     1.283    1.64   1.58   1.38  81.    80.    55.     0.5    0.3    0.125
     1.514    1.64   1.58   1.4   81.    80.    55.     0.5    0.3    0.125
     1.591    1.64   1.58   1.4   81.    80.    56.     0.5    0.3    0.125
     1.727    1.64   1.58   1.42  81.    80.    56.     0.5    0.3    0.125
     1.739    1.64   1.58   1.38  81.    80.    56.     0.5    0.3    0.125
     1.890    1.64  1.58  1.38 81.   80.   56.    0.5   0.3   0.1 
     1.897    1.64   1.58   1.42  81.    80.    55.     0.5    0.3    0.125
     2.334    1.64  1.58  1.38 81.   80.   55.    0.5   0.3   0.1 
     2.346    1.64  1.58  1.42 81.   80.   55.    0.5   0.3   0.15
     2.400    1.64  1.58  1.38 81.   80.   57.    0.5   0.3   0.1 
     2.461    1.64   1.565  1.38  81.    80.    55.     0.5    0.3    0.1  
     2.488    1.64   1.58   1.42  81.    80.    57.     0.5    0.3    0.125
     2.490    1.64   1.58   1.4   81.    80.    57.     0.5    0.3    0.125
     2.610    1.64   1.58   1.38  81.    80.    57.     0.5    0.3    0.125
     2.850    1.64   1.565  1.42  81.    80.    55.     0.5    0.3    0.125
     3.004    1.64   1.565  1.4   81.    80.    55.     0.5    0.3    0.1  
     3.129    1.64   1.58   1.4   81.    80.    58.     0.5    0.3    0.125
     3.147    1.64   1.565  1.4   81.    80.    55.     0.5    0.3    0.125
     3.182    1.64   1.58   1.42  81.    80.    58.     0.5    0.3    0.125
     3.225    1.64  1.58  1.42 81.   80.   56.    0.5   0.3   0.15
     3.247    1.64   1.565  1.42  81.    80.    56.     0.5    0.3    0.125
     3.404    1.64  1.58  1.4  81.   80.   56.    0.5   0.3   0.1 
     3.547    1.62   1.55   1.4   81.    80.    55.     0.5    0.3    0.125
     3.667    1.62   1.55   1.38  81.    80.    55.     0.5    0.3    0.125
     3.752    1.64   1.58   1.38  81.    80.    58.     0.5    0.3    0.125
     3.775    1.64  1.58  1.38 81.   80.   58.    0.5   0.3   0.1 
     3.776    1.62   1.55   1.42  81.    80.    55.     0.5    0.3    0.125
     3.818    1.62  1.55  1.42 81.   80.   55.    0.5   0.3   0.15
     3.960    1.62   1.565  1.42  81.    80.    57.     0.5    0.3    0.15 
     4.025    1.64   1.565  1.38  81.    80.    56.     0.5    0.3    0.1  
     4.043    1.64  1.58  1.4  81.   80.   57.    0.5   0.3   0.1 
     4.105    1.64   1.565  1.42  81.    80.    55.     0.5    0.3    0.1  
     4.164    1.64   1.565  1.4   81.    80.    56.     0.5    0.3    0.125
     4.316    1.62   1.565  1.38  81.    80.    57.     0.5    0.3    0.125
     4.343    1.62   1.565  1.42  81.    80.    56.     0.5    0.3    0.15 
     4.358    1.64  1.58  1.4  81.   80.   55.    0.5   0.3   0.1 
     4.378    1.62   1.565  1.4   81.    80.    57.     0.5    0.3    0.15 
