   Chi^2    ('R1'  'R2'  'R3'  'Theta2'  'Theta3'  'Phi'  'q1'  'q2'  'q3')
     4.121    1.7   1.6   1.6  80.   80.   60.    0.5   0.25  0.2 
     4.231    1.65  1.6   1.6  80.   80.   60.    0.5   0.25  0.25
     4.737    1.7   1.5   1.4  80.   80.   60.    0.5   0.2   0.15
     4.793    1.7   1.6   1.4  80.   75.   55.    0.5   0.25  0.15
     6.160    1.7   1.4   1.6  80.   80.   60.    0.5   0.15  0.25
     6.679    1.65  1.6   1.6  75.   80.   65.    0.5   0.25  0.3 
     7.050    1.7  1.5  1.6 80.  80.  60.   0.5  0.2  0.2
     7.200    1.65  1.6   1.5  75.   80.   65.    0.5   0.25  0.25
     7.361    1.65  1.6   1.5  80.   80.   60.    0.5   0.25  0.2 
     7.725    1.7   1.6   1.5  80.   75.   55.    0.5   0.25  0.2 
     8.394    1.7   1.6   1.4  80.   80.   60.    0.5   0.25  0.15
    10.250    1.7   1.4   1.5  80.   80.   60.    0.5   0.15  0.2 
    10.490    1.6   1.6   1.6  80.   75.   55.    0.5   0.3   0.25
    10.834    1.7   1.5   1.4  80.   75.   55.    0.5   0.2   0.15
    10.893    1.7   1.6   1.6  80.   85.   65.    0.5   0.25  0.25
    11.474    1.7   1.5   1.6  75.   80.   65.    0.5   0.25  0.25
    11.572    1.7   1.6   1.5  80.   80.   60.    0.5   0.25  0.15
    11.846    1.65  1.6   1.6  80.   75.   55.    0.5   0.3   0.25
    11.856    1.7   1.5   1.6  75.   75.   55.    0.5   0.15  0.25
    11.954    1.65  1.6   1.6  75.   80.   65.    0.5   0.3   0.25
    12.787    1.7   1.6   1.5  85.   80.   55.    0.5   0.25  0.15
    13.086    1.65  1.5   1.6  80.   80.   60.    0.5   0.2   0.25
    13.168    1.65  1.6   1.5  75.   80.   65.    0.5   0.3   0.2 
    13.261    1.7   1.5   1.5  75.   80.   65.    0.5   0.25  0.2 
    13.305    1.7   1.6   1.6  75.   80.   65.    0.5   0.3   0.25
    13.558    1.7   1.6   1.5  80.   85.   65.    0.5   0.25  0.2 
    13.708    1.7   1.6   1.6  85.   85.   60.    0.5   0.25  0.25
    13.835    1.65  1.6   1.5  80.   75.   55.    0.5   0.3   0.2 
    13.879    1.65  1.6   1.4  75.   80.   65.    0.5   0.25  0.2 
    13.976    1.7  1.6  1.5 75.  80.  65.   0.5  0.3  0.2
    14.051    1.7   1.6   1.6  75.   80.   65.    0.5   0.35  0.3 
    14.123    1.6  1.6  1.5 80.  75.  55.   0.5  0.3  0.2
    14.261    1.7   1.6   1.6  80.   75.   55.    0.5   0.3   0.25
    14.337    1.7   1.6   1.5  75.   75.   65.    0.5   0.25  0.15
    14.364    1.7   1.5   1.6  80.   85.   65.    0.5   0.2   0.25
    14.501    1.6  1.6  1.6 75.  80.  65.   0.5  0.3  0.3
    14.555    1.7   1.6   1.4  75.   80.   65.    0.5   0.3   0.15
    14.740    1.7   1.5   1.4  75.   80.   65.    0.5   0.25  0.15
    14.787    1.7   1.6   1.6  75.   75.   65.    0.5   0.25  0.2 
    15.205    1.65  1.6   1.4  75.   80.   65.    0.5   0.3   0.15
    15.411    1.7   1.6   1.4  80.   80.   60.    0.5   0.3   0.15
    15.555    1.7   1.6   1.6  80.   75.   55.    0.5   0.25  0.25
    15.691    1.7   1.6   1.6  80.   75.   55.    0.5   0.25  0.2 
    15.899    1.7  1.6  1.5 80.  80.  60.   0.5  0.3  0.2
    16.050    1.7   1.6   1.6  75.   80.   65.    0.5   0.35  0.35
    16.200    1.7   1.6   1.5  75.   80.   65.    0.5   0.25  0.2 
    16.308    1.7   1.6   1.6  75.   80.   65.    0.5   0.25  0.25
    16.758    1.7   1.6   1.6  80.   80.   60.    0.5   0.3   0.25
    17.307    1.7   1.5   1.5  75.   75.   55.    0.5   0.15  0.2 
    17.550    1.7   1.6   1.5  75.   80.   65.    0.5   0.35  0.25
    17.786    1.7  1.5  1.5 80.  75.  55.   0.5  0.2  0.2
    17.951    1.7  1.5  1.5 80.  80.  60.   0.5  0.2  0.2
    17.999    1.7  1.5  1.6 75.  75.  65.   0.5  0.2  0.2
    18.095    1.7   1.5   1.5  75.   75.   65.    0.5   0.2   0.15
    18.100    1.7   1.6   1.6  80.   80.   60.    0.5   0.35  0.25
    18.330    1.7  1.5  1.5 80.  85.  65.   0.5  0.2  0.2
    18.493    1.7   1.6   1.5  80.   80.   60.    0.5   0.35  0.35
    19.264    1.7   1.4   1.6  80.   85.   65.    0.5   0.15  0.25
    19.303    1.7  1.5  1.6 80.  75.  55.   0.5  0.2  0.2
    19.606    1.6   1.6   1.5  75.   80.   65.    0.5   0.3   0.25
    19.885    1.7   1.5   1.5  80.   80.   60.    0.5   0.2   0.15
    20.028    1.7  1.6  1.5 80.  75.  55.   0.5  0.3  0.2
    20.078    1.7   1.6   1.5  80.   80.   60.    0.5   0.35  0.2 
    20.137    1.7  1.5  1.6 75.  80.  65.   0.5  0.2  0.3
