   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
     2.984    1.77  1.63  1.42 82.   80.   58.    0.6   0.29  0.14
     3.076    1.77  1.64  1.42 82.   80.   58.    0.6   0.3   0.14
     3.112    1.78  1.64  1.38 82.   80.   58.    0.6   0.3   0.12
     3.142    1.78  1.62  1.42 82.   80.   58.    0.6   0.28  0.14
     3.203    1.77  1.64  1.4  82.   80.   58.    0.6   0.29  0.14
     3.230    1.78  1.64  1.42 82.   80.   58.    0.6   0.29  0.14
     3.247    1.76  1.64  1.4  82.   80.   58.    0.6   0.3   0.14
     3.255    1.77  1.62  1.4  82.   80.   58.    0.6   0.28  0.14
     3.274    1.78  1.63  1.38 82.   80.   58.    0.6   0.29  0.12
     3.275    1.76  1.63  1.4  82.   80.   58.    0.6   0.29  0.14
     3.289    1.76  1.64  1.42 82.   80.   58.    0.6   0.3   0.14
     3.321    1.76  1.63  1.42 82.   80.   58.    0.6   0.28  0.16
     3.398    1.77  1.62  1.42 82.   80.   58.    0.6   0.29  0.14
     3.405    1.78  1.62  1.38 82.   80.   58.    0.6   0.29  0.12
     3.407    1.76  1.64  1.38 82.   80.   58.    0.6   0.29  0.14
     3.458    1.76  1.63  1.42 82.   80.   58.    0.6   0.3   0.14
     3.473    1.78  1.63  1.42 82.   80.   58.    0.6   0.29  0.14
     3.491    1.77  1.63  1.38 82.   80.   58.    0.6   0.28  0.14
     3.498    1.76  1.62  1.42 82.   80.   58.    0.6   0.29  0.14
     3.551    1.78  1.63  1.4  82.   80.   58.    0.6   0.28  0.14
     3.556    1.76  1.62  1.38 82.   80.   58.    0.6   0.28  0.14
     3.565    1.78  1.64  1.4  82.   80.   58.    0.6   0.3   0.12
     3.565    1.77  1.64  1.42 82.   80.   58.    0.6   0.28  0.16
     3.571    1.76  1.62  1.4  82.   80.   58.    0.6   0.29  0.14
     3.592    1.77  1.63  1.4  82.   80.   58.    0.6   0.29  0.14
     3.618    1.76  1.64  1.42 82.   80.   58.    0.6   0.29  0.16
     3.717    1.77  1.62  1.42 82.   80.   58.    0.6   0.28  0.14
     3.719    1.78  1.63  1.4  82.   80.   58.    0.6   0.3   0.12
     3.721    1.78  1.63  1.38 82.   80.   58.    0.6   0.3   0.12
     3.732    1.78  1.64  1.38 82.   80.   58.    0.6   0.28  0.14
     3.738    1.77  1.64  1.38 82.   80.   58.    0.6   0.3   0.12
     3.743    1.77  1.63  1.38 82.   80.   58.    0.6   0.3   0.12
     3.744    1.76  1.63  1.38 82.   80.   58.    0.6   0.29  0.14
     3.788    1.78  1.62  1.4  82.   80.   58.    0.6   0.29  0.12
     3.855    1.77  1.64  1.42 82.   80.   58.    0.6   0.29  0.14
     3.895    1.78  1.63  1.42 82.   80.   58.    0.6   0.28  0.14
     3.900    1.76  1.62  1.42 82.   80.   58.    0.6   0.28  0.16
     3.916    1.77  1.64  1.38 82.   80.   58.    0.6   0.29  0.14
     3.946    1.77  1.62  1.38 82.   80.   58.    0.6   0.29  0.12
     3.987    1.78  1.62  1.38 82.   80.   58.    0.6   0.28  0.12
     4.008    1.78  1.64  1.4  82.   80.   58.    0.6   0.29  0.14
     4.042    1.77  1.63  1.42 82.   80.   58.    0.6   0.3   0.14
     4.058    1.76  1.63  1.42 82.   80.   58.    0.6   0.29  0.14
     4.095    1.77  1.63  1.4  82.   80.   58.    0.6   0.28  0.14
     4.098    1.78  1.63  1.4  82.   80.   58.    0.6   0.29  0.12
     4.117    1.77  1.63  1.42 82.   80.   58.    0.6   0.28  0.16
     4.125    1.78  1.64  1.38 82.   80.   58.    0.6   0.29  0.12
     4.128    1.78  1.62  1.4  82.   80.   58.    0.6   0.28  0.14
     4.159    1.77  1.62  1.38 82.   80.   58.    0.6   0.28  0.14
     4.166    1.76  1.62  1.4  82.   80.   58.    0.6   0.28  0.14
     4.173    1.76  1.63  1.4  82.   80.   58.    0.6   0.28  0.16
     4.178    1.76  1.64  1.4  82.   80.   58.    0.6   0.29  0.14
     4.199    1.76  1.64  1.4  82.   80.   58.    0.6   0.28  0.16
     4.222    1.76  1.62  1.42 82.   80.   58.    0.6   0.3   0.14
     4.227    1.77  1.62  1.38 82.   80.   58.    0.6   0.3   0.12
     4.274    1.78  1.64  1.42 82.   80.   58.    0.6   0.3   0.14
     4.312    1.78  1.64  1.4  82.   80.   58.    0.6   0.28  0.14
     4.331    1.76  1.63  1.4  82.   80.   58.    0.6   0.3   0.14
     4.363    1.78  1.62  1.4  82.   80.   58.    0.6   0.3   0.12
     4.378    1.77  1.63  1.38 82.   80.   58.    0.6   0.29  0.12
     4.395    1.77  1.64  1.38 82.   80.   58.    0.6   0.28  0.14
     4.430    1.78  1.63  1.38 82.   80.   58.    0.6   0.28  0.14
     4.453    1.76  1.64  1.42 82.   80.   58.    0.6   0.28  0.16
     4.493    1.76  1.63  1.38 82.   80.   58.    0.6   0.28  0.14
     4.504    1.78  1.62  1.38 82.   80.   58.    0.6   0.3   0.12
     4.533    1.78  1.64  1.42 82.   80.   58.    0.6   0.28  0.16
     4.536    1.77  1.64  1.4  82.   80.   58.    0.6   0.28  0.16
     4.570    1.77  1.64  1.4  82.   80.   58.    0.6   0.3   0.14
     4.578    1.77  1.63  1.4  82.   80.   58.    0.6   0.3   0.12
     4.601    1.76  1.62  1.38 82.   80.   58.    0.6   0.3   0.12
     4.630    1.76  1.63  1.38 82.   80.   58.    0.6   0.3   0.12
     4.667    1.77  1.64  1.38 82.   80.   56.    0.6   0.28  0.16
     4.678    1.78  1.63  1.42 82.   80.   58.    0.6   0.3   0.12
     4.709    1.77  1.62  1.4  82.   80.   58.    0.6   0.3   0.12
     4.774    1.78  1.62  1.42 82.   80.   58.    0.6   0.29  0.14
     4.801    1.76  1.64  1.38 82.   80.   58.    0.6   0.3   0.14
     4.820    1.78  1.64  1.42 82.   80.   58.    0.6   0.3   0.12
     4.824    1.77  1.64  1.4  82.   80.   56.    0.6   0.28  0.16
     4.825    1.76  1.64  1.38 82.   80.   56.    0.6   0.28  0.16
     4.868    1.77  1.64  1.4  82.   80.   58.    0.6   0.3   0.12
     4.919    1.78  1.64  1.38 82.   80.   56.    0.6   0.28  0.16
     4.930    1.77  1.62  1.4  82.   80.   58.    0.6   0.29  0.14
     4.970    1.78  1.62  1.42 82.   80.   58.    0.6   0.29  0.12
     4.996    1.78  1.62  1.42 82.   80.   58.    0.6   0.3   0.12
     4.997    1.77  1.62  1.4  82.   80.   58.    0.6   0.29  0.12
     5.043    1.78  1.62  1.4  82.   80.   58.    0.6   0.28  0.12
     5.067    1.76  1.64  1.38 82.   80.   58.    0.6   0.3   0.12
